,job,marital,education,default,housing,loan,contact,month,poutcome,deposit
admin.,1334.0,,,,,,,,,
apr,,,,,,,,923.0,,
aug,,,,,,,,1519.0,,
blue-collar,1944.0,,,,,,,,,
cellular,,,,,,,8042.0,,,
dec,,,,,,,,110.0,,
divorced,,1293.0,,,,,,,,
entrepreneur,328.0,,,,,,,,,
failure,,,,,,,,,1228.0,
feb,,,,,,,,776.0,,
housemaid,274.0,,,,,,,,,
jan,,,,,,,,344.0,,
jul,,,,,,,,1514.0,,
jun,,,,,,,,1222.0,,
management,2566.0,,,,,,,,,
mar,,,,,,,,276.0,,
married,,6351.0,,,,,,,,
may,,,,,,,,2824.0,,
no,,,,10994.0,5881.0,9702.0,,,,5873.0
nov,,,,,,,,943.0,,
oct,,,,,,,,392.0,,
other,,,,,,,,,537.0,
primary,,,1500.0,,,,,,,
retired,778.0,,,,,,,,,
secondary,,,5476.0,,,,,,,
self-employed,405.0,,,,,,,,,
sep,,,,,,,,319.0,,
services,923.0,,,,,,,,,
single,,3518.0,,,,,,,,
student,360.0,,,,,,,,,
success,,,,,,,,,1071.0,
technician,1823.0,,,,,,,,,
telephone,,,,,,,774.0,,,
tertiary,,,3689.0,,,,,,,
unemployed,357.0,,,,,,,,,
unknown,70.0,,497.0,,,,2346.0,,8326.0,
yes,,,,168.0,5281.0,1460.0,,,,5289.0
